"Id partie","Nom du joueur","Prix moyen des citadelles achetées","Rôle préféré","Nombre de fois où il assassine","Nombre de fois où il s'est fait assassiner"
"16","RandomPlayer","","","","1"
"16","MattPlayer","","","","0"
"16","ThomasPlayer","","","","2"
"16","AlwaysSpendPlayer","","","","0"
"17","AlwaysSpendPlayer","","","","1"
"17","MattPlayer","","","","2"
"17","ThomasPlayer","","","","1"
"17","RandomPlayer","","","","1"
"18","MattPlayer","","","","0"
"18","ThomasPlayer","","","","0"
"18","RandomPlayer","","","","0"
"18","AlwaysSpendPlayer","","","","0"
"19","AlwaysSpendPlayer","","","","1"
"19","MattPlayer","","","","0"
"19","ThomasPlayer","","","","1"
"19","RandomPlayer","","","","0"
"20","MattPlayer","","","","3"
"20","AlwaysSpendPlayer","","","","0"
"20","ThomasPlayer","","","","0"
"20","RandomPlayer","","","","1"
"21","AlwaysSpendPlayer","","","","0"
"21","ThomasPlayer","","","","0"
"21","RandomPlayer","","","","0"
"21","MattPlayer","","","","1"
"22","ThomasPlayer","","","","0"
"22","AlwaysSpendPlayer","","","","0"
"22","MattPlayer","","","","0"
"22","RandomPlayer","","","","1"
"23","MattPlayer","","","","0"
"23","RandomPlayer","","","","1"
"23","ThomasPlayer","","","","1"
"23","AlwaysSpendPlayer","","","","0"
"24","RandomPlayer","","","","0"
"24","MattPlayer","","","","0"
"24","AlwaysSpendPlayer","","","","1"
"24","ThomasPlayer","","","","0"
"25","RandomPlayer","","","","0"
"25","MattPlayer","","","","0"
"25","ThomasPlayer","","","","0"
"25","AlwaysSpendPlayer","","","","1"
"26","RandomPlayer","","","","0"
"26","AlwaysSpendPlayer","","","","1"
"26","ThomasPlayer","","","","0"
"26","MattPlayer","","","","1"
"27","MattPlayer","","","","2"
"27","AlwaysSpendPlayer","","","","0"
"27","RandomPlayer","","","","0"
"27","ThomasPlayer","","","","0"
"28","RandomPlayer","","","","0"
"28","MattPlayer","","","","2"
"28","ThomasPlayer","","","","1"
"28","AlwaysSpendPlayer","","","","0"
"29","ThomasPlayer","","","","0"
"29","AlwaysSpendPlayer","","","","0"
"29","RandomPlayer","","","","1"
"29","MattPlayer","","","","0"
"30","ThomasPlayer","","","","0"
"30","AlwaysSpendPlayer","","","","0"
"30","MattPlayer","","","","0"
"30","RandomPlayer","","","","1"
"31","RandomPlayer","","","","1"
"31","AlwaysSpendPlayer","","","","0"
"31","MattPlayer","","","","0"
"31","ThomasPlayer","","","","0"
"32","AlwaysSpendPlayer","","","","0"
"32","ThomasPlayer","","","","0"
"32","MattPlayer","","","","0"
"32","RandomPlayer","","","","0"
"33","RandomPlayer","","","","0"
"33","AlwaysSpendPlayer","","","","0"
"33","MattPlayer","","","","0"
"33","ThomasPlayer","","","","1"
"34","ThomasPlayer","","","","0"
"34","MattPlayer","","","","1"
"34","AlwaysSpendPlayer","","","","1"
"34","RandomPlayer","","","","1"
"35","AlwaysSpendPlayer","","","","0"
"35","MattPlayer","","","","2"
"35","ThomasPlayer","","","","0"
"35","RandomPlayer","","","","0"
"36","RandomPlayer","","","","0"
"36","AlwaysSpendPlayer","","","","1"
"36","ThomasPlayer","","","","1"
"36","MattPlayer","","","","1"
"37","ThomasPlayer","","","","2"
"37","AlwaysSpendPlayer","","","","2"
"37","RandomPlayer","","","","0"
"37","MattPlayer","","","","1"
"38","MattPlayer","","","","0"
"38","ThomasPlayer","","","","1"
"38","RandomPlayer","","","","0"
"38","AlwaysSpendPlayer","","","","0"
"39","ThomasPlayer","","","","0"
"39","RandomPlayer","","","","0"
"39","MattPlayer","","","","1"
"39","AlwaysSpendPlayer","","","","1"
"40","AlwaysSpendPlayer","","","","2"
"40","MattPlayer","","","","0"
"40","ThomasPlayer","","","","1"
"40","RandomPlayer","","","","0"
"41","AlwaysSpendPlayer","","","","1"
"41","RandomPlayer","","","","1"
"41","ThomasPlayer","","","","2"
"41","MattPlayer","","","","1"
"42","AlwaysSpendPlayer","","","","1"
"42","ThomasPlayer","","","","0"
"42","RandomPlayer","","","","1"
"42","MattPlayer","","","","3"
"43","ThomasPlayer","","","","1"
"43","MattPlayer","","","","0"
"43","RandomPlayer","","","","2"
"43","AlwaysSpendPlayer","","","","0"
"44","ThomasPlayer","","","","0"
"44","AlwaysSpendPlayer","","","","0"
"44","MattPlayer","","","","1"
"44","RandomPlayer","","","","1"
"45","MattPlayer","","","","2"
"45","RandomPlayer","","","","0"
"45","AlwaysSpendPlayer","","","","0"
"45","ThomasPlayer","","","","2"
"46","AlwaysSpendPlayer","","","","0"
"46","MattPlayer","","","","3"
"46","ThomasPlayer","","","","0"
"46","RandomPlayer","","","","1"
"47","ThomasPlayer","","","","0"
"47","MattPlayer","","","","0"
"47","AlwaysSpendPlayer","","","","0"
"47","RandomPlayer","","","","0"
"48","MattPlayer","","","","1"
"48","AlwaysSpendPlayer","","","","1"
"48","RandomPlayer","","","","2"
"48","ThomasPlayer","","","","1"
"49","MattPlayer","","","","1"
"49","AlwaysSpendPlayer","","","","1"
"49","ThomasPlayer","","","","0"
"49","RandomPlayer","","","","1"
"50","MattPlayer","","","","1"
"50","RandomPlayer","","","","0"
"50","ThomasPlayer","","","","0"
"50","AlwaysSpendPlayer","","","","1"
"51","MattPlayer","","","","2"
"51","RandomPlayer","","","","0"
"51","AlwaysSpendPlayer","","","","0"
"51","ThomasPlayer","","","","0"
"52","AlwaysSpendPlayer","","","","1"
"52","ThomasPlayer","","","","1"
"52","RandomPlayer","","","","0"
"52","MattPlayer","","","","1"
"53","ThomasPlayer","","","","0"
"53","AlwaysSpendPlayer","","","","1"
"53","RandomPlayer","","","","1"
"53","MattPlayer","","","","0"
"54","ThomasPlayer","","","","2"
"54","AlwaysSpendPlayer","","","","0"
"54","RandomPlayer","","","","1"
"54","MattPlayer","","","","1"
"55","RandomPlayer","","","","0"
"55","ThomasPlayer","","","","3"
"55","MattPlayer","","","","0"
"55","AlwaysSpendPlayer","","","","0"
"56","RandomPlayer","","","","0"
"56","ThomasPlayer","","","","1"
"56","MattPlayer","","","","1"
"56","AlwaysSpendPlayer","","","","0"
"57","AlwaysSpendPlayer","","","","1"
"57","ThomasPlayer","","","","0"
"57","RandomPlayer","","","","2"
"57","MattPlayer","","","","0"
"58","MattPlayer","","","","0"
"58","AlwaysSpendPlayer","","","","0"
"58","RandomPlayer","","","","0"
"58","ThomasPlayer","","","","1"
"59","MattPlayer","","","","0"
"59","ThomasPlayer","","","","0"
"59","RandomPlayer","","","","0"
"59","AlwaysSpendPlayer","","","","1"
"60","RandomPlayer","","","","0"
"60","AlwaysSpendPlayer","","","","1"
"60","MattPlayer","","","","0"
"60","ThomasPlayer","","","","0"
"61","RandomPlayer","","","","2"
"61","MattPlayer","","","","0"
"61","ThomasPlayer","","","","0"
"61","AlwaysSpendPlayer","","","","0"
"62","RandomPlayer","","","","1"
"62","MattPlayer","","","","0"
"62","ThomasPlayer","","","","0"
"62","AlwaysSpendPlayer","","","","1"
"63","ThomasPlayer","","","","1"
"63","RandomPlayer","","","","0"
"63","AlwaysSpendPlayer","","","","1"
"63","MattPlayer","","","","0"
"64","AlwaysSpendPlayer","","","","0"
"64","ThomasPlayer","","","","1"
"64","RandomPlayer","","","","0"
"64","MattPlayer","","","","0"
"65","AlwaysSpendPlayer","","","","0"
"65","RandomPlayer","","","","0"
"65","MattPlayer","","","","0"
"65","ThomasPlayer","","","","2"
"66","ThomasPlayer","","","","0"
"66","RandomPlayer","","","","1"
"66","AlwaysSpendPlayer","","","","0"
"66","MattPlayer","","","","0"
"67","ThomasPlayer","","","","0"
"67","RandomPlayer","","","","1"
"67","AlwaysSpendPlayer","","","","0"
"67","MattPlayer","","","","1"
"68","AlwaysSpendPlayer","","","","1"
"68","MattPlayer","","","","0"
"68","ThomasPlayer","","","","0"
"68","RandomPlayer","","","","1"
"69","RandomPlayer","","","","0"
"69","ThomasPlayer","","","","0"
"69","AlwaysSpendPlayer","","","","0"
"69","MattPlayer","","","","0"
"70","ThomasPlayer","","","","1"
"70","RandomPlayer","","","","1"
"70","AlwaysSpendPlayer","","","","0"
"70","MattPlayer","","","","0"
"71","MattPlayer","","","","1"
"71","RandomPlayer","","","","0"
"71","ThomasPlayer","","","","1"
"71","AlwaysSpendPlayer","","","","0"
"72","AlwaysSpendPlayer","","","","0"
"72","RandomPlayer","","","","0"
"72","MattPlayer","","","","1"
"72","ThomasPlayer","","","","0"
"73","ThomasPlayer","","","","0"
"73","AlwaysSpendPlayer","","","","1"
"73","RandomPlayer","","","","0"
"73","MattPlayer","","","","1"
"74","MattPlayer","","","","0"
"74","ThomasPlayer","","","","0"
"74","AlwaysSpendPlayer","","","","0"
"74","RandomPlayer","","","","0"
"75","ThomasPlayer","","","","1"
"75","MattPlayer","","","","1"
"75","AlwaysSpendPlayer","","","","0"
"75","RandomPlayer","","","","0"
"76","MattPlayer","","","","0"
"76","AlwaysSpendPlayer","","","","2"
"76","ThomasPlayer","","","","1"
"76","RandomPlayer","","","","0"
"77","AlwaysSpendPlayer","","","","0"
"77","RandomPlayer","","","","1"
"77","MattPlayer","","","","1"
"77","ThomasPlayer","","","","0"
"78","ThomasPlayer","","","","1"
"78","MattPlayer","","","","2"
"78","RandomPlayer","","","","1"
"78","AlwaysSpendPlayer","","","","0"
"79","AlwaysSpendPlayer","","","","0"
"79","RandomPlayer","","","","0"
"79","ThomasPlayer","","","","1"
"79","MattPlayer","","","","0"
"80","MattPlayer","","","","0"
"80","AlwaysSpendPlayer","","","","0"
"80","ThomasPlayer","","","","1"
"80","RandomPlayer","","","","1"
"81","AlwaysSpendPlayer","","","","0"
"81","RandomPlayer","","","","0"
"81","ThomasPlayer","","","","1"
"81","MattPlayer","","","","2"
"82","AlwaysSpendPlayer","","","","0"
"82","RandomPlayer","","","","0"
"82","ThomasPlayer","","","","1"
"82","MattPlayer","","","","0"
"83","AlwaysSpendPlayer","","","","0"
"83","ThomasPlayer","","","","0"
"83","RandomPlayer","","","","0"
"83","MattPlayer","","","","0"
"84","RandomPlayer","","","","1"
"84","ThomasPlayer","","","","0"
"84","AlwaysSpendPlayer","","","","0"
"84","MattPlayer","","","","2"
"85","AlwaysSpendPlayer","","","","0"
"85","ThomasPlayer","","","","1"
"85","RandomPlayer","","","","1"
"85","MattPlayer","","","","0"
"86","AlwaysSpendPlayer","","","","0"
"86","RandomPlayer","","","","0"
"86","ThomasPlayer","","","","0"
"86","MattPlayer","","","","0"
"87","RandomPlayer","","","","0"
"87","ThomasPlayer","","","","0"
"87","AlwaysSpendPlayer","","","","0"
"87","MattPlayer","","","","0"
"88","MattPlayer","","","","0"
"88","ThomasPlayer","","","","1"
"88","AlwaysSpendPlayer","","","","0"
"88","RandomPlayer","","","","0"
"89","RandomPlayer","","","","0"
"89","ThomasPlayer","","","","0"
"89","AlwaysSpendPlayer","","","","0"
"89","MattPlayer","","","","0"
"90","ThomasPlayer","","","","0"
"90","MattPlayer","","","","0"
"90","RandomPlayer","","","","0"
"90","AlwaysSpendPlayer","","","","1"
"91","AlwaysSpendPlayer","","","","0"
"91","MattPlayer","","","","0"
"91","ThomasPlayer","","","","0"
"91","RandomPlayer","","","","0"
"92","RandomPlayer","","","","0"
"92","MattPlayer","","","","1"
"92","AlwaysSpendPlayer","","","","3"
"92","ThomasPlayer","","","","0"
"93","ThomasPlayer","","","","1"
"93","MattPlayer","","","","1"
"93","AlwaysSpendPlayer","","","","0"
"93","RandomPlayer","","","","0"
"94","ThomasPlayer","","","","0"
"94","MattPlayer","","","","1"
"94","AlwaysSpendPlayer","","","","1"
"94","RandomPlayer","","","","0"
"95","RandomPlayer","","","","2"
"95","MattPlayer","","","","0"
"95","ThomasPlayer","","","","2"
"95","AlwaysSpendPlayer","","","","0"
"96","RandomPlayer","","","","0"
"96","ThomasPlayer","","","","1"
"96","MattPlayer","","","","1"
"96","AlwaysSpendPlayer","","","","0"
"97","ThomasPlayer","","","","0"
"97","AlwaysSpendPlayer","","","","0"
"97","MattPlayer","","","","1"
"97","RandomPlayer","","","","1"
"98","MattPlayer","","","","1"
"98","AlwaysSpendPlayer","","","","0"
"98","RandomPlayer","","","","0"
"98","ThomasPlayer","","","","1"
"99","AlwaysSpendPlayer","","","","0"
"99","RandomPlayer","","","","0"
"99","ThomasPlayer","","","","2"
"99","MattPlayer","","","","0"
"100","MattPlayer","","","","1"
"100","ThomasPlayer","","","","0"
"100","RandomPlayer","","","","0"
"100","AlwaysSpendPlayer","","","","3"
"101","RandomPlayer","","","","0"
"101","AlwaysSpendPlayer","","","","2"
"101","ThomasPlayer","","","","0"
"101","MattPlayer","","","","0"
"102","RandomPlayer","","","","1"
"102","MattPlayer","","","","2"
"102","ThomasPlayer","","","","0"
"102","AlwaysSpendPlayer","","","","0"
"103","MattPlayer","","","","0"
"103","ThomasPlayer","","","","1"
"103","AlwaysSpendPlayer","","","","0"
"103","RandomPlayer","","","","0"
"104","AlwaysSpendPlayer","","","","0"
"104","ThomasPlayer","","","","2"
"104","MattPlayer","","","","2"
"104","RandomPlayer","","","","0"
"105","MattPlayer","","","","1"
"105","ThomasPlayer","","","","2"
"105","RandomPlayer","","","","0"
"105","AlwaysSpendPlayer","","","","1"
"106","MattPlayer","","","","1"
"106","AlwaysSpendPlayer","","","","0"
"106","RandomPlayer","","","","0"
"106","ThomasPlayer","","","","0"
"107","AlwaysSpendPlayer","","","","0"
"107","MattPlayer","","","","0"
"107","RandomPlayer","","","","0"
"107","ThomasPlayer","","","","2"
"108","RandomPlayer","","","","0"
"108","AlwaysSpendPlayer","","","","0"
"108","ThomasPlayer","","","","0"
"108","MattPlayer","","","","0"
"109","ThomasPlayer","","","","1"
"109","AlwaysSpendPlayer","","","","0"
"109","RandomPlayer","","","","1"
"109","MattPlayer","","","","0"
"110","AlwaysSpendPlayer","","","","1"
"110","MattPlayer","","","","0"
"110","ThomasPlayer","","","","0"
"110","RandomPlayer","","","","0"
"111","MattPlayer","","","","0"
"111","RandomPlayer","","","","0"
"111","AlwaysSpendPlayer","","","","0"
"111","ThomasPlayer","","","","1"
"112","AlwaysSpendPlayer","","","","0"
"112","ThomasPlayer","","","","0"
"112","RandomPlayer","","","","0"
"112","MattPlayer","","","","1"
"113","RandomPlayer","","","","1"
"113","ThomasPlayer","","","","0"
"113","MattPlayer","","","","0"
"113","AlwaysSpendPlayer","","","","0"
"114","MattPlayer","","","","2"
"114","RandomPlayer","","","","0"
"114","ThomasPlayer","","","","0"
"114","AlwaysSpendPlayer","","","","0"
"115","AlwaysSpendPlayer","","","","1"
"115","MattPlayer","","","","1"
"115","ThomasPlayer","","","","1"
"115","RandomPlayer","","","","1"
"116","ThomasPlayer","","","","0"
"116","MattPlayer","","","","0"
"116","RandomPlayer","","","","1"
"116","AlwaysSpendPlayer","","","","0"
"117","ThomasPlayer","","","","1"
"117","RandomPlayer","","","","1"
"117","MattPlayer","","","","0"
"117","AlwaysSpendPlayer","","","","0"
"118","ThomasPlayer","","","","0"
"118","RandomPlayer","","","","1"
"118","MattPlayer","","","","0"
"118","AlwaysSpendPlayer","","","","0"
"119","ThomasPlayer","","","","0"
"119","AlwaysSpendPlayer","","","","0"
"119","RandomPlayer","","","","0"
"119","MattPlayer","","","","1"
"120","RandomPlayer","","","","2"
"120","MattPlayer","","","","0"
"120","ThomasPlayer","","","","1"
"120","AlwaysSpendPlayer","","","","2"
"121","AlwaysSpendPlayer","","","","0"
"121","RandomPlayer","","","","1"
"121","MattPlayer","","","","0"
"121","ThomasPlayer","","","","0"
"122","MattPlayer","","","","0"
"122","RandomPlayer","","","","0"
"122","ThomasPlayer","","","","0"
"122","AlwaysSpendPlayer","","","","0"
"123","AlwaysSpendPlayer","","","","0"
"123","MattPlayer","","","","1"
"123","ThomasPlayer","","","","1"
"123","RandomPlayer","","","","0"
"124","RandomPlayer","","","","0"
"124","ThomasPlayer","","","","0"
"124","MattPlayer","","","","0"
"124","AlwaysSpendPlayer","","","","1"
"125","RandomPlayer","","","","1"
"125","MattPlayer","","","","0"
"125","AlwaysSpendPlayer","","","","1"
"125","ThomasPlayer","","","","1"
"126","ThomasPlayer","","","","1"
"126","MattPlayer","","","","1"
"126","RandomPlayer","","","","0"
"126","AlwaysSpendPlayer","","","","0"
"127","MattPlayer","","","","0"
"127","AlwaysSpendPlayer","","","","0"
"127","ThomasPlayer","","","","0"
"127","RandomPlayer","","","","0"
"128","RandomPlayer","","","","0"
"128","ThomasPlayer","","","","0"
"128","AlwaysSpendPlayer","","","","0"
"128","MattPlayer","","","","0"
"129","ThomasPlayer","","","","0"
"129","AlwaysSpendPlayer","","","","0"
"129","MattPlayer","","","","1"
"129","RandomPlayer","","","","0"
"130","ThomasPlayer","","","","1"
"130","AlwaysSpendPlayer","","","","0"
"130","RandomPlayer","","","","0"
"130","MattPlayer","","","","0"
"131","ThomasPlayer","","","","1"
"131","RandomPlayer","","","","0"
"131","AlwaysSpendPlayer","","","","0"
"131","MattPlayer","","","","0"
"132","RandomPlayer","","","","0"
"132","AlwaysSpendPlayer","","","","0"
"132","MattPlayer","","","","1"
"132","ThomasPlayer","","","","0"
"133","RandomPlayer","","","","0"
"133","AlwaysSpendPlayer","","","","0"
"133","MattPlayer","","","","0"
"133","ThomasPlayer","","","","1"
"134","MattPlayer","","","","0"
"134","AlwaysSpendPlayer","","","","0"
"134","ThomasPlayer","","","","0"
"134","RandomPlayer","","","","3"
"135","RandomPlayer","","","","0"
"135","ThomasPlayer","","","","0"
"135","AlwaysSpendPlayer","","","","0"
"135","MattPlayer","","","","1"
"136","MattPlayer","","","","2"
"136","RandomPlayer","","","","0"
"136","AlwaysSpendPlayer","","","","0"
"136","ThomasPlayer","","","","0"
"137","RandomPlayer","","","","0"
"137","MattPlayer","","","","1"
"137","AlwaysSpendPlayer","","","","1"
"137","ThomasPlayer","","","","2"
"138","RandomPlayer","","","","0"
"138","AlwaysSpendPlayer","","","","1"
"138","MattPlayer","","","","1"
"138","ThomasPlayer","","","","1"
"139","RandomPlayer","","","","0"
"139","MattPlayer","","","","1"
"139","ThomasPlayer","","","","2"
"139","AlwaysSpendPlayer","","","","1"
"140","ThomasPlayer","","","","2"
"140","RandomPlayer","","","","0"
"140","MattPlayer","","","","0"
"140","AlwaysSpendPlayer","","","","2"
"141","ThomasPlayer","","","","1"
"141","RandomPlayer","","","","1"
"141","AlwaysSpendPlayer","","","","0"
"141","MattPlayer","","","","0"
"142","ThomasPlayer","","","","0"
"142","MattPlayer","","","","0"
"142","AlwaysSpendPlayer","","","","0"
"142","RandomPlayer","","","","0"
"143","AlwaysSpendPlayer","","","","2"
"143","ThomasPlayer","","","","0"
"143","MattPlayer","","","","0"
"143","RandomPlayer","","","","0"
"144","ThomasPlayer","","","","0"
"144","MattPlayer","","","","0"
"144","AlwaysSpendPlayer","","","","0"
"144","RandomPlayer","","","","0"
"145","AlwaysSpendPlayer","","","","0"
"145","ThomasPlayer","","","","3"
"145","RandomPlayer","","","","2"
"145","MattPlayer","","","","0"
"146","MattPlayer","","","","1"
"146","RandomPlayer","","","","0"
"146","ThomasPlayer","","","","0"
"146","AlwaysSpendPlayer","","","","0"
"147","RandomPlayer","","","","0"
"147","MattPlayer","","","","0"
"147","AlwaysSpendPlayer","","","","0"
"147","ThomasPlayer","","","","0"
"148","MattPlayer","","","","0"
"148","RandomPlayer","","","","1"
"148","AlwaysSpendPlayer","","","","1"
"148","ThomasPlayer","","","","0"
"149","MattPlayer","","","","1"
"149","AlwaysSpendPlayer","","","","0"
"149","RandomPlayer","","","","1"
"149","ThomasPlayer","","","","0"
"150","RandomPlayer","","","","1"
"150","MattPlayer","","","","0"
"150","ThomasPlayer","","","","0"
"150","AlwaysSpendPlayer","","","","1"
"151","MattPlayer","","","","1"
"151","AlwaysSpendPlayer","","","","0"
"151","RandomPlayer","","","","0"
"151","ThomasPlayer","","","","0"
"152","RandomPlayer","","","","0"
"152","MattPlayer","","","","1"
"152","ThomasPlayer","","","","2"
"152","AlwaysSpendPlayer","","","","0"
"153","MattPlayer","","","","0"
"153","ThomasPlayer","","","","0"
"153","AlwaysSpendPlayer","","","","1"
"153","RandomPlayer","","","","0"
"154","ThomasPlayer","","","","1"
"154","MattPlayer","","","","1"
"154","AlwaysSpendPlayer","","","","1"
"154","RandomPlayer","","","","2"
"155","MattPlayer","","","","1"
"155","RandomPlayer","","","","0"
"155","AlwaysSpendPlayer","","","","0"
"155","ThomasPlayer","","","","0"
"156","RandomPlayer","","","","0"
"156","ThomasPlayer","","","","1"
"156","AlwaysSpendPlayer","","","","0"
"156","MattPlayer","","","","2"
"157","AlwaysSpendPlayer","","","","0"
"157","ThomasPlayer","","","","1"
"157","MattPlayer","","","","1"
"157","RandomPlayer","","","","1"
"158","MattPlayer","","","","0"
"158","AlwaysSpendPlayer","","","","1"
"158","RandomPlayer","","","","0"
"158","ThomasPlayer","","","","0"
"159","ThomasPlayer","","","","0"
"159","RandomPlayer","","","","0"
"159","MattPlayer","","","","0"
"159","AlwaysSpendPlayer","","","","1"
"160","RandomPlayer","","","","0"
"160","AlwaysSpendPlayer","","","","0"
"160","ThomasPlayer","","","","0"
"160","MattPlayer","","","","1"
"161","ThomasPlayer","","","","0"
"161","RandomPlayer","","","","1"
"161","MattPlayer","","","","2"
"161","AlwaysSpendPlayer","","","","0"
"162","ThomasPlayer","","","","1"
"162","RandomPlayer","","","","2"
"162","AlwaysSpendPlayer","","","","0"
"162","MattPlayer","","","","0"
"163","AlwaysSpendPlayer","","","","0"
"163","ThomasPlayer","","","","2"
"163","MattPlayer","","","","1"
"163","RandomPlayer","","","","2"
"164","AlwaysSpendPlayer","","","","0"
"164","MattPlayer","","","","0"
"164","RandomPlayer","","","","0"
"164","ThomasPlayer","","","","0"
"165","MattPlayer","","","","2"
"165","ThomasPlayer","","","","0"
"165","AlwaysSpendPlayer","","","","0"
"165","RandomPlayer","","","","0"
"166","AlwaysSpendPlayer","","","","0"
"166","MattPlayer","","","","0"
"166","RandomPlayer","","","","0"
"166","ThomasPlayer","","","","0"
"167","ThomasPlayer","","","","1"
"167","MattPlayer","","","","1"
"167","AlwaysSpendPlayer","","","","0"
"167","RandomPlayer","","","","1"
"168","RandomPlayer","","","","0"
"168","AlwaysSpendPlayer","","","","0"
"168","ThomasPlayer","","","","2"
"168","MattPlayer","","","","0"
"169","ThomasPlayer","","","","1"
"169","RandomPlayer","","","","3"
"169","MattPlayer","","","","1"
"169","AlwaysSpendPlayer","","","","0"
"170","AlwaysSpendPlayer","","","","2"
"170","RandomPlayer","","","","0"
"170","MattPlayer","","","","0"
"170","ThomasPlayer","","","","0"
"171","RandomPlayer","","","","1"
"171","MattPlayer","","","","0"
"171","ThomasPlayer","","","","0"
"171","AlwaysSpendPlayer","","","","0"
"172","RandomPlayer","","","","0"
"172","ThomasPlayer","","","","0"
"172","AlwaysSpendPlayer","","","","2"
"172","MattPlayer","","","","1"
"173","MattPlayer","","","","2"
"173","AlwaysSpendPlayer","","","","0"
"173","ThomasPlayer","","","","0"
"173","RandomPlayer","","","","0"
"174","AlwaysSpendPlayer","","","","0"
"174","RandomPlayer","","","","0"
"174","ThomasPlayer","","","","0"
"174","MattPlayer","","","","0"
"175","AlwaysSpendPlayer","","","","1"
"175","RandomPlayer","","","","0"
"175","MattPlayer","","","","0"
"175","ThomasPlayer","","","","0"
"176","AlwaysSpendPlayer","","","","1"
"176","MattPlayer","","","","0"
"176","ThomasPlayer","","","","1"
"176","RandomPlayer","","","","1"
"177","MattPlayer","","","","1"
"177","ThomasPlayer","","","","0"
"177","RandomPlayer","","","","0"
"177","AlwaysSpendPlayer","","","","1"
"178","ThomasPlayer","","","","1"
"178","MattPlayer","","","","0"
"178","RandomPlayer","","","","1"
"178","AlwaysSpendPlayer","","","","2"
"179","MattPlayer","","","","0"
"179","ThomasPlayer","","","","0"
"179","RandomPlayer","","","","1"
"179","AlwaysSpendPlayer","","","","0"
"180","MattPlayer","","","","0"
"180","ThomasPlayer","","","","0"
"180","RandomPlayer","","","","0"
"180","AlwaysSpendPlayer","","","","2"
"181","RandomPlayer","","","","1"
"181","ThomasPlayer","","","","2"
"181","MattPlayer","","","","0"
"181","AlwaysSpendPlayer","","","","0"
"182","ThomasPlayer","","","","1"
"182","MattPlayer","","","","1"
"182","RandomPlayer","","","","1"
"182","AlwaysSpendPlayer","","","","0"
"183","AlwaysSpendPlayer","","","","0"
"183","ThomasPlayer","","","","1"
"183","MattPlayer","","","","0"
"183","RandomPlayer","","","","0"
"184","AlwaysSpendPlayer","","","","2"
"184","MattPlayer","","","","1"
"184","RandomPlayer","","","","2"
"184","ThomasPlayer","","","","0"
"185","RandomPlayer","","","","1"
"185","ThomasPlayer","","","","0"
"185","MattPlayer","","","","0"
"185","AlwaysSpendPlayer","","","","0"
"186","MattPlayer","","","","0"
"186","AlwaysSpendPlayer","","","","0"
"186","ThomasPlayer","","","","1"
"186","RandomPlayer","","","","0"
"187","ThomasPlayer","","","","0"
"187","RandomPlayer","","","","0"
"187","MattPlayer","","","","0"
"187","AlwaysSpendPlayer","","","","0"
"188","AlwaysSpendPlayer","","","","1"
"188","RandomPlayer","","","","0"
"188","MattPlayer","","","","0"
"188","ThomasPlayer","","","","1"
"189","MattPlayer","","","","2"
"189","RandomPlayer","","","","1"
"189","AlwaysSpendPlayer","","","","1"
"189","ThomasPlayer","","","","2"
"190","RandomPlayer","","","","0"
"190","AlwaysSpendPlayer","","","","1"
"190","ThomasPlayer","","","","0"
