"Id partie","Nom du joueur","Prix moyen des citadelles achetées","Rôle préféré","Nombre de fois où il assassine","Nombre de fois où il s'est fait assassiner","Score","Victoire","Egalite"
"61","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","19","Non","Non"
"61","MattPlayer","3 pièces","MARCHAND","1","1","18","Non","Non"
"61","RandomPlayer","2 pièces","ROI","1","0","14","Non","Non"
"62","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","11","Non","Non"
"62","MattPlayer","2 pièces","MARCHAND","0","1","28","Oui","Non"
"62","AlwaysSpendPlayer","2 pièces","EVEQUE","0","0","16","Non","Non"
"62","RandomPlayer","1 pièces","ARCHITECTE","1","0","11","Non","Non"
"63","AlwaysSpendPlayer","2 pièces","EVEQUE","0","0","17","Non","Non"
"63","MattPlayer","2 pièces","MARCHAND","0","1","11","Non","Non"
"63","ThomasPlayer","4 pièces","VOLEUR","1","0","19","Non","Non"
"63","RandomPlayer","2 pièces","VOLEUR","1","0","26","Oui","Non"
"64","ThomasPlayer","3 pièces","ARCHITECTE","1","0","31","Oui","Non"
"64","MattPlayer","2 pièces","MARCHAND","2","2","8","Non","Non"
"64","RandomPlayer","1 pièces","ASSASSIN","2","0","11","Non","Non"
"64","AlwaysSpendPlayer","3 pièces","ROI","0","0","30","Non","Non"
"65","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","26","Oui","Non"
"65","AlwaysSpendPlayer","3 pièces","MAGICIEN","0","0","15","Non","Non"
"65","MattPlayer","2 pièces","MARCHAND","0","0","6","Non","Non"
"65","RandomPlayer","2 pièces","ROI","0","0","11","Non","Non"
"66","RandomPlayer","2 pièces","ASSASSIN","4","0","16","Non","Non"
"66","AlwaysSpendPlayer","2 pièces","CONDOTTIERE","2","3","10","Non","Non"
"66","MattPlayer","2 pièces","MARCHAND","0","0","14","Non","Non"
"66","ThomasPlayer","2 pièces","ASSASSIN","3","0","27","Oui","Non"
"67","MattPlayer","3 pièces","MARCHAND","1","0","19","Non","Non"
"67","ThomasPlayer","2 pièces","ARCHITECTE","0","1","23","Non","Non"
"67","RandomPlayer","2 pièces","ASSASSIN","3","0","26","Oui","Non"
"67","AlwaysSpendPlayer","4 pièces","ROI","0","0","25","Non","Non"
"68","AlwaysSpendPlayer","2 pièces","MAGICIEN","3","0","14","Non","Non"
"68","RandomPlayer","2 pièces","ASSASSIN","2","0","16","Non","Non"
"68","MattPlayer","2 pièces","MARCHAND","1","1","19","Non","Non"
"68","ThomasPlayer","2 pièces","ARCHITECTE","0","0","27","Oui","Non"
"69","RandomPlayer","2 pièces","MAGICIEN","1","1","15","Non","Non"
"69","MattPlayer","2 pièces","MARCHAND","1","0","19","Non","Non"
"69","AlwaysSpendPlayer","2 pièces","EVEQUE","3","0","13","Non","Non"
"69","ThomasPlayer","2 pièces","CONDOTTIERE","0","2","24","Oui","Non"
"70","ThomasPlayer","2 pièces","ARCHITECTE","0","0","27","Oui","Non"
"70","MattPlayer","3 pièces","MARCHAND","4","0","10","Non","Non"
"70","RandomPlayer","3 pièces","VOLEUR","0","1","19","Non","Non"
"70","AlwaysSpendPlayer","4 pièces","VOLEUR","0","0","19","Non","Non"
"71","AlwaysSpendPlayer","3 pièces","ROI","2","0","29","Oui","Non"
"71","RandomPlayer","3 pièces","CONDOTTIERE","0","0","26","Non","Non"
"71","ThomasPlayer","2 pièces","CONDOTTIERE","1","0","17","Non","Non"
"71","MattPlayer","2 pièces","MARCHAND","4","1","17","Non","Non"
"72","MattPlayer","2 pièces","ARCHITECTE","0","1","24","Oui","Non"
"72","ThomasPlayer","3 pièces","CONDOTTIERE","0","0","16","Non","Non"
"72","AlwaysSpendPlayer","3 pièces","VOLEUR","1","0","18","Non","Non"
"72","RandomPlayer","1 pièces","EVEQUE","2","0","6","Non","Non"
"73","RandomPlayer","2 pièces","VOLEUR","1","0","9","Non","Non"
"73","MattPlayer","2 pièces","MARCHAND","1","1","22","Oui","Non"
"73","ThomasPlayer","3 pièces","CONDOTTIERE","0","1","21","Non","Non"
"73","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","18","Non","Non"
"74","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","0","20","Non","Non"
"74","MattPlayer","2 pièces","MARCHAND","1","0","11","Non","Non"
"74","ThomasPlayer","2 pièces","VOLEUR","0","1","22","Oui","Non"
"74","RandomPlayer","2 pièces","ROI","1","0","11","Non","Non"
"75","AlwaysSpendPlayer","3 pièces","EVEQUE","0","1","20","Non","Non"
"75","MattPlayer","3 pièces","MARCHAND","4","0","22","Non","Non"
"75","RandomPlayer","2 pièces","ASSASSIN","4","0","12","Non","Non"
"75","ThomasPlayer","2 pièces","ARCHITECTE","0","2","27","Oui","Non"
"76","RandomPlayer","2 pièces","MAGICIEN","0","1","13","Non","Non"
"76","MattPlayer","2 pièces","MARCHAND","1","0","26","Non","Non"
"76","ThomasPlayer","3 pièces","CONDOTTIERE","0","1","19","Non","Non"
"76","AlwaysSpendPlayer","3 pièces","EVEQUE","2","0","27","Oui","Non"
"77","RandomPlayer","2 pièces","EVEQUE","0","1","20","Non","Non"
"77","ThomasPlayer","3 pièces","CONDOTTIERE","1","0","14","Non","Non"
"77","AlwaysSpendPlayer","3 pièces","VOLEUR","2","0","35","Oui","Non"
"77","MattPlayer","2 pièces","MARCHAND","2","1","19","Non","Non"
"78","ThomasPlayer","2 pièces","CONDOTTIERE","0","0","28","Oui","Non"
"78","AlwaysSpendPlayer","2 pièces","ROI","1","0","20","Non","Non"
"78","MattPlayer","2 pièces","MARCHAND","2","0","11","Non","Non"
"78","RandomPlayer","2 pièces","EVEQUE","0","0","25","Non","Non"
"79","MattPlayer","2 pièces","MARCHAND","2","0","18","Non","Non"
"79","AlwaysSpendPlayer","3 pièces","CONDOTTIERE","0","2","21","Non","Non"
"79","RandomPlayer","2 pièces","MARCHAND","2","0","27","Oui","Non"
"79","ThomasPlayer","3 pièces","EVEQUE","1","0","20","Non","Non"
"80","AlwaysSpendPlayer","3 pièces","ROI","1","0","28","Oui","Non"
"80","ThomasPlayer","2 pièces","MAGICIEN","2","0","18","Non","Non"
"80","MattPlayer","3 pièces","MARCHAND","0","0","21","Non","Non"
"80","RandomPlayer","1 pièces","EVEQUE","0","0","12","Non","Non"
"81","AlwaysSpendPlayer","3 pièces","EVEQUE","3","0","32","Oui","Non"
"81","RandomPlayer","2 pièces","VOLEUR","1","1","12","Non","Non"
"81","MattPlayer","3 pièces","ASSASSIN","4","0","15","Non","Non"
"81","ThomasPlayer","3 pièces","ARCHITECTE","0","2","29","Non","Non"
"82","MattPlayer","2 pièces","MARCHAND","1","0","16","Non","Non"
"82","RandomPlayer","2 pièces","MAGICIEN","0","1","22","Non","Oui"
"82","ThomasPlayer","3 pièces","ARCHITECTE","2","0","22","Non","Oui"
"82","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","21","Non","Non"
"83","ThomasPlayer","3 pièces","CONDOTTIERE","1","1","28","Oui","Non"
"83","RandomPlayer","2 pièces","ASSASSIN","6","1","19","Non","Non"
"83","MattPlayer","3 pièces","MARCHAND","1","2","26","Non","Non"
"83","AlwaysSpendPlayer","3 pièces","VOLEUR","1","2","22","Non","Non"
"84","RandomPlayer","1 pièces","MAGICIEN","1","0","9","Non","Non"
"84","MattPlayer","2 pièces","ARCHITECTE","2","0","21","Oui","Non"
"84","AlwaysSpendPlayer","2 pièces","EVEQUE","0","0","7","Non","Non"
"84","ThomasPlayer","3 pièces","CONDOTTIERE","0","1","17","Non","Non"
"85","ThomasPlayer","2 pièces","ARCHITECTE","1","0","25","Oui","Non"
"85","AlwaysSpendPlayer","3 pièces","MAGICIEN","1","1","15","Non","Non"
"85","RandomPlayer","1 pièces","CONDOTTIERE","1","0","5","Non","Non"
"85","MattPlayer","2 pièces","MARCHAND","1","0","20","Non","Non"
"86","ThomasPlayer","2 pièces","ARCHITECTE","0","1","27","Non","Oui"
"86","AlwaysSpendPlayer","3 pièces","ASSASSIN","2","0","27","Non","Oui"
"86","MattPlayer","2 pièces","MARCHAND","1","1","9","Non","Non"
"86","RandomPlayer","2 pièces","ASSASSIN","3","0","11","Non","Non"
"87","AlwaysSpendPlayer","3 pièces","ROI","1","2","19","Non","Non"
"87","ThomasPlayer","3 pièces","ASSASSIN","3","1","21","Non","Non"
"87","MattPlayer","3 pièces","MARCHAND","1","0","30","Oui","Non"
"87","RandomPlayer","2 pièces","VOLEUR","1","0","14","Non","Non"
"88","MattPlayer","2 pièces","MARCHAND","2","0","24","Non","Non"
"88","ThomasPlayer","2 pièces","ARCHITECTE","1","0","26","Oui","Non"
"88","RandomPlayer","2 pièces","ROI","0","0","15","Non","Non"
"88","AlwaysSpendPlayer","2 pièces","MAGICIEN","2","0","17","Non","Non"
"89","ThomasPlayer","2 pièces","ARCHITECTE","0","0","25","Oui","Non"
